fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220611 232832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	663	TRUE	0.0105787529516434	0.632527301832905	5381	63	0.01473176659626	13469000	39
20220611 232907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	257	TRUE	0.0435911522898259	0.316931304003309	5997	391	0.0223416781700707	12786000	40
20220611 232918	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.0836279754327258	0.734445663832655	7921	1022	0.0137097927572779	13027000	41
20220611 233131	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	989	TRUE	0.0100332725455025	0.372836157516932	4321	958	0.019666649827604	13144000	42
20220611 233239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	481	TRUE	0.0219378815130506	0.389539290356613	4328	96	0.0154382615209916	13706000	43
20220611 233300	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	0.137689034378169	0.550314369397467	6944	16	0.0157695064993379	13035000	44
20220611 233329	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	157	TRUE	0.0566709635622896	0.471512188697863	4550	243	0.0152213663841455	13388000	45
20220611 233355	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	229	TRUE	0.0641200505321754	0.200312462044733	7992	815	0.0139521712512976	13248000	46
20220611 233432	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	314	TRUE	0.0195879155202961	0.80099447169952	5640	16	0.0162121916218275	13536000	47
20220611 233454	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	121	TRUE	0.0760528128994813	0.355384904690849	6068	873	0.0149036873806064	13289000	48
20220611 233625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1030	TRUE	0.0105926038402589	0.699526456064475	4428	17	0.0174334544755848	13516000	49
20220611 233634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.2500252787169	0.200104032524159	7828	458	0.0182577675027338	12996000	50
20220611 233741	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	592	TRUE	0.010022125733734	0.791484135232084	6504	1020	0.0165453592097139	13356000	51
20220611 233843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	610	TRUE	0.0107410509737745	0.742970042195031	7994	95	0.0172710141341255	13096000	52
20220611 234012	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	746	TRUE	0.0100101363285039	0.200158976077491	7991	895	0.0189753672568377	13345000	53
20220611 234104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	330	TRUE	0.0100116079456167	0.776387977069369	4515	16	0.0123341034902309	12954000	54
20220611 234120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0602926788791492	0.720060303541337	5438	117	0.0161956565587846	13565000	55
20220611 234131	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0.230629990991	0.34731767525817	4071	16	0.0161102085123926	12559000	56
20220611 234200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	250	TRUE	0.0327339489278758	0.773453430937875	5636	39	0.0200514774328882	12847000	57
20220611 234338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	792	TRUE	0.0101506396007165	0.617770667846489	4574	983	0.0156490605196469	13609000	58
20220611 234517	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	632	TRUE	0.0107499970924595	0.322931475302308	2882	20	0.014483206836702	13401000	59
20220611 234654	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	611	TRUE	0.0101376968826959	0.315730710050713	4011	891	0.0155051458473042	13561000	60
20220611 234743	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	446	TRUE	0.0376037460990607	0.200509732888629	4357	956	0.0250453268671554	12322000	61
20220611 234911	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	436	TRUE	0.0121781531769214	0.350185455678628	5482	47	0.0157905538737716	13630000	62
20220611 235038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	500	TRUE	0.0114057010218682	0.343130666322591	4428	469	0.0156849745627973	13720000	63
20220611 235156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	496	TRUE	0.0135658230338017	0.34271739015744	4412	125	0.0156707351773874	13587000	64
